1;1;Qatar;Ecuador;3
2;1;Inglaterra;Irán;1
3;1;Senegal;Países Bajos;3
4;1;Estados Unidos;Gales;1
5;1;Argentina;Arabia Saudita;1
6;1;Dinamarca;Túnez;2
7;1;México;Polonia;2
8;1;Francia;Australia;1
9;1;Marruecos;Croacia;3
10;1;Alemania;Japón;1
11;1;España;Costa Rica;1
12;1;Bélgica;Canadá;3
13;1;Suiza;Camerún;1
14;1;Uruguay;Corea del sur;1
15;1;Portugal;Ghana;1
16;1;Brasil;Serbia;1
17;1;Gales;Irán;1
18;1;Qatar;Senegal;1
19;1;Países Bajos;Ecuador;2
20;1;Inglaterra;Estados Unidos;1
21;1;Túnez;Australia;1
22;1;Polonia;Arabia Saudita;3
23;1;Francia;Dinamarca;1
24;1;Argentina;México;3
25;1;Japón;Costa Rica;1
26;1;Bélgica;Marruecos;3
27;1;Croacia;Canadá;2
28;1;España;Alemania;1
29;1;Camerún;Serbia;1
30;1;Corea del sur;Ghana;2
31;1;Brasil;Suiza;1
32;1;Portugal;Uruguay;1
33;1;Países Bajos;Qatar;1
34;1;Ecuador;Senegal;3
35;1;Gales;Inglaterra;1
36;1;Irán;Estados Unidos;3
37;1;Túnez;Francia;3
38;1;Australia;Dinamarca;3
39;1;Polonia;Argentina;1
40;1;Arabia Saudita;México;3
41;1;Croacia;Bélgica;3
42;1;Canadá;Marruecos;1
43;1;Japón;España;1
44;1;Costa Rica;Alemania;2
45;1;Corea del sur;Portugal;1
46;1;Ghana;Uruguay;1
47;1;Camerún;Brasil;1
48;1;Serbia;Suiza;3
49;2;Países Bajos;Estados Unidos;1
50;2;Argentina;Australia;1
51;2;Francia;Polonia;3
52;2;Inglaterra;Senegal;1
53;2;Japón;Croacia;3
54;2;Brasil;Corea del sur;1
55;2;Marruecos;España;1
56;2;Portugal;Suiza;1
57;3;Croacia;Brasil;3
58;3;Países Bajos;Argentina;3
59;3;Marruecos;Portugal;1
60;3;Inglaterra;Francia;3
61;4;Argentina;Croacia;1
62;4;Francia;Marruecos;1
63;5;Croacia;Marruecos;1
64;5;Argentina;Francia;1
